headlines,headline_text
"['view', 'the', 'government', 'needs', 'to', 'take', 'a', 'step', 'back', 'reduce', 'its', 'interference', 'with', 'digital', 'payments']",view the government needs to take a step back reduce its interference with digital payments
"['america', 'imposes', 'sanctions', 'on', 'irans', 'major', 'banks', 'aim', 'to', 'stop', 'illicit', 'access', 'to', 'us', 'dollars']",america imposes sanctions on irans major banks aim to stop illicit access to us dollars
"['moodys', 'revises', 'global', 'steel', 'sector', 'outlook', 'to', 'stable', 'as', 'worldwide', 'demand', 'starts', 'to', 'recover']",moodys revises global steel sector outlook to stable as worldwide demand starts to recover
"['revival', 'scheme', 'for', 'gas', 'projects', 'shelved']",revival scheme for gas projects shelved
"['donald', 'trump', 'willing', 'to', 'debate', 'joe', 'biden', 'if', 'events', 'are', 'postponed', 'campaign', 'statement']",donald trump willing to debate joe biden if events are postponed campaign statement
"['i', 't', 'cbi', 'sleuths', 'to', 'look', 'into', 'nsr', 'whistle', 'blower', 'allegation', 'against', 'ccd', 'founder']",i t cbi sleuths to look into nsr whistle blower allegation against ccd founder
"['india', 'a', 'friend', 'forever', 'says', 'afghan', 'peace', 'negotiator', 'dr', 'abdullah', 'thanks', 'country', 'for', 'support']",india a friend forever says afghan peace negotiator dr abdullah thanks country for support
"['leh', 'gears', 'up', 'for', 'hill', 'council', 'election', 'aam', 'aadmi', 'party', 'latest', 'to', 'throw', 'hat', 'in', 'the', 'ring']",leh gears up for hill council election aam aadmi party latest to throw hat in the ring
"['there', 'is', 'a', 'free', 'media', 'in', 'india', 'mea', 'on', 'chinese', 'embassys', 'taiwan', 'guidelines', 'to', 'journalists']",there is a free media in india mea on chinese embassys taiwan guidelines to journalists
"['tablighi', 'case', 'freedom', 'of', 'speech', 'expression', 'most', 'abused', 'right', 'in', 'recent', 'times', 'says', 'sc']",tablighi case freedom of speech expression most abused right in recent times says sc
"['ec', 'relaxes', 'timeline', 'for', 'entities', 'to', 'register', 'as', 'parties', 'in', 'bihar', 'in', 'view', 'of', 'covid', 'restrictions']",ec relaxes timeline for entities to register as parties in bihar in view of covid restrictions
"['bank', 'credit', 'rises', '5', '15', 'in', 'fortnight', 'ended', 'sept', '25', 'rbi', 'data']",bank credit rises 5 15 in fortnight ended sept 25 rbi data
"['defence', 'ministry', 'asks', 'cpwd', 'to', 'expedite', 'the', 'construction', 'of', 'four', 'crucial', 'defence', 'manufacturing', 'hubs']",defence ministry asks cpwd to expedite the construction of four crucial defence manufacturing hubs
"['facebook', 'bars', 'deceptive', 'campaign', 'from', 'pro', 'donald', 'trump', 'group']",facebook bars deceptive campaign from pro donald trump group
